Year,Rk,Pk,Tm,Round 1 Player,Round 1 College,Yrs,Totals G,Totals MP,Totals PTS,Totals TRB,Totals AST,Shooting FG%,Shooting 3P%,Shooting FT%,Per Game MP,Per Game PTS,Per Game TRB,Per Game AST,Advanced WS,Advanced WS/48,Advanced BPM,Advanced VORP
2012,13,13,PHO,Kendall Marshall\marshke01,University of North Carolina,4,160,3083,802,253,779,0.399,0.37,0.611,19.3,5,1.6,4.9,1,0.015,-5.6,-2.8
2012,14,14,MIL,John Henson\hensojo01,University of North Carolina,5,315,5994,2418,1622,314,0.534,0,0.572,19,7.7,5.1,1,13.8,0.11,0.5,3.8
2012,15,15,PHI,Maurice Harkless\harklma01,St. John's University,5,356,8278,2646,1326,311,0.471,0.315,0.596,23.3,7.4,3.7,0.9,12.7,0.073,-0.3,3.4
2012,16,16,HOU,Royce White\whitero03,Iowa State University,1,3,9,0,0,0,0,,,3,0,0,0,0,-0.121,-10.4,0
2012,17,17,DAL,Tyler Zeller\zellety01,University of North Carolina,5,340,6048,2384,1487,316,0.499,0,0.769,17.8,7,4.4,0.9,13.8,0.11,-1.5,0.7
2012,18,18,HOU,Terrence Jones\joneste01,University of Kentucky,5,232,5557,2429,1330,237,0.501,0.299,0.622,24,10.5,5.7,1,14.8,0.128,0.2,3
2012,19,19,ORL,Andrew Nicholson\nichoan01,St. Bonaventure University,5,285,4080,1700,857,126,0.467,0.321,0.773,14.3,6,3,0.4,3.8,0.045,-5.3,-3.4
2012,20,20,DEN,Evan Fournier\fournev01,,5,319,8392,3918,824,691,0.445,0.379,0.791,26.3,12.3,2.6,2.2,12.9,0.074,-1.1,2
2012,21,21,BOS,Jared Sullinger\sullija01,Ohio State University,5,269,6532,2893,2006,477,0.436,0.272,0.723,24.3,10.8,7.5,1.8,15.3,0.113,0.5,4.1
2012,22,22,BOS,Fab Melo\melofa01,Syracuse University,1,6,36,7,3,0,0.5,,0.25,6,1.2,0.5,0,0,0.021,-5.8,0
2012,23,23,ATL,John Jenkins\jenkijo01,Vanderbilt University,5,145,1850,734,213,116,0.448,0.364,0.849,12.8,5.1,1.5,0.8,2.7,0.071,-3.6,-0.7
2012,24,24,CLE,Jared Cunningham\cunnija01,Oregon State University,4,84,605,197,56,39,0.347,0.306,0.674,7.2,2.3,0.7,0.5,0.2,0.017,-5.9,-0.6
2012,25,25,MEM,Tony Wroten\wroteto01,University of Washington,4,145,3076,1604,363,437,0.413,0.231,0.647,21.2,11.1,2.5,3,-1.3,-0.021,-4.1,-1.6
2012,26,26,IND,Miles Plumlee\plumlmi01,Duke University,5,273,4567,1380,1295,116,0.53,,0.564,16.7,5.1,4.7,0.4,9.2,0.097,-1.5,0.5
2012,27,27,MIA,Arnett Moultrie\moultar01,Mississippi State University,2,59,729,210,180,12,0.547,,0.667,12.4,3.6,3.1,0.2,1.7,0.113,-3,-0.2
2012,28,28,OKC,Perry Jones\jonespe01,Baylor University,3,143,1675,488,252,54,0.42,0.293,0.66,11.7,3.4,1.8,0.4,1.7,0.048,-4.6,-1.1
2012,29,29,CHI,Marquis Teague\teaguma01,University of Kentucky,2,88,835,206,84,121,0.349,0.22,0.686,9.5,2.3,1,1.4,-0.8,-0.046,-8.1,-1.3
2012,30,30,GSW,Festus Ezeli\ezelife01,Vanderbilt University,3,170,2394,712,725,63,0.513,,0.557,14.1,4.2,4.3,0.4,5.9,0.119,-1.1,0.6
2012,31,31,CHA,Jeff Taylor\tayloje03,Vanderbilt University,3,132,2566,807,263,107,0.409,0.319,0.665,19.4,6.1,2,0.8,1.3,0.024,-3.9,-1.2
2012,32,32,WAS,Tomas Satoransky\satorto01,,1,57,719,154,83,92,0.418,0.243,0.697,12.6,2.7,1.5,1.6,0.6,0.041,-3.1,-0.2
2012,33,33,CLE,Bernard James\jamesbe01,Florida State University,3,92,761,203,212,13,0.497,0,0.68,8.3,2.2,2.3,0.1,1.9,0.117,-1.1,0.2
2012,34,34,CLE,Jae Crowder\crowdja01,Marquette University,5,383,8897,3413,1462,538,0.435,0.346,0.785,23.2,8.9,3.8,1.4,21.7,0.117,1.2,7.3
2012,35,35,GSW,Draymond Green\greendr01,Michigan State University,5,397,10627,3566,2684,1627,0.435,0.334,0.695,26.8,9,6.8,4.1,32.9,0.149,4.1,16.4
2012,36,36,SAC,Orlando Johnson\johnsor01,University of California Santa Barbara,3,103,1112,329,180,69,0.358,0.311,0.727,10.8,3.2,1.7,0.7,1.4,0.059,-3.8,-0.5
2012,37,37,TOR,Quincy Acy\acyqu01,Baylor University,5,257,3910,1214,897,152,0.482,0.366,0.75,15.2,4.7,3.5,0.6,7.8,0.095,-1.6,0.4
2012,38,38,DEN,Quincy Miller\millequ01,Baylor University,3,69,934,295,169,37,0.35,0.292,0.706,13.5,4.3,2.4,0.5,-0.1,-0.003,-4,-0.5
2012,39,39,DET,Khris Middleton\middlkh01,Texas A&M University,5,296,9054,4070,1132,809,0.45,0.404,0.874,30.6,13.8,3.8,2.7,18,0.095,0,4.5
2012,40,40,POR,Will Barton\bartowi01,University of Memphis,5,314,6322,2856,1115,581,0.427,0.324,0.784,20.1,9.1,3.6,1.9,9,0.068,-1,1.5
2012,41,41,POR,Tyshawn Taylor\tayloty01,University of Kansas,2,61,491,174,33,57,0.354,0.36,0.684,8,2.9,0.5,0.9,-0.9,-0.088,-8.8,-0.8
2012,42,42,MIL,Doron Lamb\lambdo01,University of Kentucky,2,100,1272,345,95,75,0.381,0.394,0.7,12.7,3.5,1,0.8,0.1,0.005,-5.9,-1.2
2012,43,43,ATL,Mike Scott\scottmi01,University of Virginia,5,281,4322,1988,836,257,0.46,0.336,0.786,15.4,7.1,3,0.9,9.2,0.103,-2.4,-0.4
2012,44,44,DET,Kim English\engliki01,University of Missouri,1,41,407,119,37,26,0.375,0.28,0.724,9.9,2.9,0.9,0.6,0.2,0.021,-4.2,-0.2
2012,45,45,PHI,Justin Hamilton\hamilju01,Louisiana State University,3,113,1961,687,403,91,0.464,0.308,0.798,17.4,6.1,3.6,0.8,3.7,0.091,-0.3,0.8
2012,46,46,NOH,Darius Miller\milleda01,University of Kentucky,3,102,1460,320,131,89,0.42,0.351,0.841,14.3,3.1,1.3,0.9,1.2,0.04,-2.5,-0.2
2012,47,47,UTA,Kevin Murphy\murphke01,Tennessee Technological University,1,17,52,15,4,2,0.25,0.2,,3.1,0.9,0.2,0.1,-0.3,-0.272,-17.6,-0.2
2012,48,48,NYK,Kostas Papanikolaou\papanko01,,2,69,1089,249,158,101,0.354,0.297,0.688,15.8,3.6,2.3,1.5,0.3,0.015,-2.8,-0.2
2012,49,49,ORL,Kyle O'Quinn\oquinky01,Norfolk State University,5,321,4643,1760,1461,378,0.502,0.221,0.735,14.5,5.5,4.6,1.2,11,0.114,1,3.5
2012,50,50,DEN,Izzet Turkyilmaz\turkyiz01,,,,,,,,,,,,,,,,,,
2012,51,51,BOS,Kris Joseph\josepkr01,Syracuse University,1,10,54,9,7,1,0.143,0,0.625,5.4,0.9,0.7,0.1,-0.1,-0.127,-10.5,-0.1
2012,52,52,GSW,Ognjen Kuzmic\kuzmiog01,,2,37,164,35,38,8,0.52,,0.6,4.4,0.9,1,0.2,0.2,0.061,-2.5,0
2012,53,53,LAC,Furkan Aldemir\aldemfu01,,1,41,540,93,176,28,0.513,0,0.481,13.2,2.3,4.3,0.7,1.4,0.122,-0.7,0.2
2012,54,54,PHI,Tornike Shengelia\shengto01,,2,45,247,59,39,17,0.451,0.125,0.5,5.5,1.3,0.9,0.4,-0.2,-0.032,-6.6,-0.3
2012,55,55,DAL,Darius Johnson-Odom\johnsda03,Marquette University,2,7,21,0,6,2,0,0,0,3,0,0.9,0.3,-0.3,-0.597,-23.2,-0.1
2012,56,56,TOR,Tomislav Zubcic\zubcito01,,,,,,,,,,,,,,,,,,
2012,57,57,NJN,Ilkan Karaman\karamil01,,,,,,,,,,,,,,,,,,
2012,58,58,MIN,Robbie Hummel\hummero01,Purdue University,2,98,1397,379,266,50,0.418,0.343,0.867,14.3,3.9,2.7,0.5,1.9,0.066,-2.9,-0.3
2012,59,59,SAS,Marcus Denmon\denmoma01,University of Missouri,,,,,,,,,,,,,,,,,
2012,60,60,LAL,Robert Sacre\sacrero01,Gonzaga University,4,189,2745,787,593,126,0.436,0,0.671,14.5,4.2,3.1,0.7,2.4,0.042,-3.1,-0.8
2011,1,1,CLE,Kyrie Irving\irvinky01,Duke University,6,381,13024,8232,1290,2114,0.457,0.383,0.873,34.2,21.6,3.4,5.5,40.4,0.149,2.9,16.2
2011,2,2,MIN,Derrick Williams\willide02,University of Arizona,6,426,8855,3807,1692,293,0.434,0.3,0.71,20.8,8.9,4,0.7,14.1,0.076,-3.2,-2.6
2011,3,3,UTA,Enes Kanter\kanteen01,,6,445,9479,5031,2997,269,0.53,0.299,0.768,21.3,11.3,6.7,0.6,26.6,0.135,-2.5,-1.3
2011,4,4,CLE,Tristan Thompson\thomptr01,University of Texas at Austin,6,466,13381,4378,4027,385,0.515,0,0.611,28.7,9.4,8.6,0.8,34.9,0.125,-0.5,5
2011,5,5,TOR,Jonas Valanciunas\valanjo01,,5,363,9483,4160,3085,240,0.556,0.25,0.781,26.1,11.5,8.5,0.7,33.6,0.17,-0.5,3.7
2011,6,6,WAS,Jan Vesely\veselja01,,3,162,2455,590,562,96,0.521,0,0.408,15.2,3.6,3.5,0.6,4,0.078,-0.6,0.9
2011,7,7,SAC,Bismack Biyombo\biyombi01,,6,447,9557,2176,2945,189,0.512,0,0.553,21.4,4.9,6.6,0.4,18,0.09,-2.1,-0.2
2011,8,8,DET,Brandon Knight\knighbr03,University of Kentucky,6,382,11939,5820,1277,1629,0.415,0.357,0.812,31.3,15.2,3.3,4.3,11.6,0.047,-1.2,2.3
2011,9,9,CHA,Kemba Walker\walkeke02,University of Connecticut,6,443,15008,8137,1708,2381,0.411,0.351,0.827,33.9,18.4,3.9,5.4,32.6,0.104,2.2,15.8
2011,10,10,MIL,Jimmer Fredette\fredeji01,Brigham Young University,5,235,3148,1416,236,323,0.412,0.381,0.876,13.4,6,1,1.4,2.4,0.037,-4,-1.6
2011,11,11,GSW,Klay Thompson\thompkl01,Washington State University,6,464,15182,8854,1554,1045,0.453,0.419,0.853,32.7,19.1,3.3,2.3,36.6,0.116,0.5,9.6
2011,12,12,UTA,Alec Burks\burksal01,University of Colorado,6,301,6618,3034,877,534,0.428,0.36,0.752,22,10.1,2.9,1.8,9.6,0.07,-2.1,-0.2
2011,13,13,PHO,Markieff Morris\morrima02,University of Kansas,6,448,11801,5338,2510,759,0.447,0.331,0.774,26.3,11.9,5.6,1.7,18.8,0.077,-0.7,4
2011,14,14,HOU,Marcus Morris\morrima03,University of Kansas,6,416,10916,4513,1767,647,0.428,0.355,0.717,26.2,10.8,4.2,1.6,19,0.084,-0.4,4.5
2011,15,15,IND,Kawhi Leonard\leonaka01,San Diego State University,6,398,12154,6508,2469,903,0.495,0.388,0.847,30.5,16.4,6.2,2.3,55.4,0.219,6.3,25.4
2011,16,16,PHI,Nikola Vucevic\vucevni01,University of Southern California,6,399,11912,5807,3954,812,0.502,0.297,0.719,29.9,14.6,9.9,2,28.1,0.113,0.7,8
2011,17,17,NYK,Iman Shumpert\shumpim01,Georgia Institute of Technology,6,370,9461,2737,1276,704,0.396,0.34,0.764,25.6,7.4,3.4,1.9,11.6,0.059,-0.3,4.1
2011,18,18,WAS,Chris Singleton\singlch01,Florida State University,3,148,2605,612,472,92,0.376,0.319,0.633,17.6,4.1,3.2,0.6,2.3,0.042,-2.3,-0.2
2011,19,19,CHA,Tobias Harris\harrito02,University of Tennessee,6,384,11077,5305,2168,608,0.469,0.332,0.809,28.8,13.8,5.6,1.6,25.7,0.111,-0.1,5.4
2011,20,20,MIN,Donatas Motiejunas\motiedo01,,5,248,4553,1826,949,270,0.469,0.3,0.6,18.4,7.4,3.8,1.1,7.2,0.076,-2,0
2011,21,21,POR,Nolan Smith\smithno01,Duke University,2,84,829,277,83,97,0.371,0.26,0.714,9.9,3.3,1,1.2,-0.8,-0.047,-6.5,-0.9
2011,22,22,DEN,Kenneth Faried\farieke01,Morehead State University,6,409,10539,4858,3480,432,0.544,0.105,0.653,25.8,11.9,8.5,1.1,34.6,0.158,1.5,9.2
2011,23,23,HOU,Nikola Mirotic\mirotni01,,3,218,4979,2354,1150,272,0.409,0.35,0.798,22.8,10.8,5.3,1.2,13.4,0.129,0.9,3.7
2011,24,24,OKC,Reggie Jackson\jacksre01,Boston College,6,403,9887,4919,1225,1748,0.431,0.321,0.86,24.5,12.2,3,4.3,21.3,0.103,0.2,5.4
2011,25,25,BOS,MarShon Brooks\brookma01,Providence College,3,164,2876,1261,358,232,0.442,0.326,0.748,17.5,7.7,2.2,1.4,2.5,0.041,-2.5,-0.4
2011,26,26,DAL,Jordan Hamilton\hamiljo02,University of Texas at Austin,5,151,2100,890,429,127,0.408,0.357,0.67,13.9,5.9,2.8,0.8,3,0.069,-1.5,0.3
2011,27,27,NJN,JaJuan Johnson\johnsja02,Purdue University,1,36,298,114,58,6,0.446,,0.667,8.3,3.2,1.6,0.2,0.2,0.032,-6.3,-0.3
2011,28,28,CHI,Norris Cole\coleno01,Cleveland State University,6,360,8018,2506,702,981,0.407,0.324,0.743,22.3,7,2,2.7,3,0.018,-4,-4
2011,29,29,SAS,Cory Joseph\josepco01,University of Texas at Austin,6,364,7083,2479,821,904,0.458,0.317,0.768,19.5,6.8,2.3,2.5,15.2,0.103,-0.5,2.7
2011,30,30,CHI,Jimmy Butler\butleji01,Marquette University,6,399,12880,6208,1921,1254,0.448,0.337,0.828,32.3,15.6,4.8,3.1,49.3,0.184,4,19.3
2011,31,31,MIA,Bojan Bogdanovic\bogdabo02,,3,238,6052,2700,745,278,0.443,0.369,0.861,25.4,11.3,3.1,1.2,6.3,0.05,-2.7,-1.1
2011,32,32,CLE,Justin Harper\harpeju01,University of Richmond,3,22,150,45,18,4,0.34,0.276,0.333,6.8,2,0.8,0.2,-0.3,-0.093,-8.4,-0.2
2011,33,33,DET,Kyle Singler\singlky01,Duke University,5,344,7735,2303,1016,270,0.419,0.362,0.793,22.5,6.7,3,0.8,10.1,0.062,-1.6,0.9
2011,34,34,WAS,Shelvin Mack\macksh01,Butler University,6,330,5781,2094,627,966,0.426,0.321,0.748,17.5,6.3,1.9,2.9,7.5,0.062,-2.5,-0.7
2011,35,35,SAC,Tyler Honeycutt\honeyty01,University of California Los Angeles,2,24,120,28,24,9,0.314,0.2,0.714,5,1.2,1,0.4,-0.1,-0.049,-6.4,-0.1
